epoch,train_loss,val_accuracy,val_macro_f1
1,0.13325811950168465,0.8739956172388604,0.9223563145518842
2,0.003011671060466243,0.8835829072315559,0.9227754763666388
3,0.0022299199492348924,0.8909788166544923,0.9028345993096645
4,0.0026657708393760626,0.8960920379839299,0.914342549969654
5,0.0009045004459719511,0.8928962746530315,0.898832925337411
6,0.007069211193820284,0.9157231555880204,0.9615275405625092
7,0.0007735944799505721,0.906318480642805,0.9563961836749933
8,0.0001150144209397185,0.9040357925493061,0.9533649389551497
9,7.579361817312265e-05,0.9222059897735574,0.9603030015278855
10,5.215486516606588e-05,0.9168188458729,0.9583071844238672
11,0.007518213667725209,0.9373630387143901,0.9594751284941109
12,0.004877267960824613,0.9054054054054054,0.9273526824166821
13,0.00015381450214778156,0.9162710007304602,0.9580261240459726
14,4.5415932630291955e-05,0.912710007304602,0.956296816015
15,3.491744410140491e-05,0.910518626734843,0.9543957451291353
16,2.405520155062059e-05,0.9140796201607012,0.956343879411237
17,7.560274151114318e-05,0.9162710007304602,0.9567946902965754
18,3.763861581025787e-05,0.9202885317750182,0.961210981565997
19,1.9711432603510023e-05,0.9169101533966398,0.9600450009020574
20,1.4067512111232626e-05,0.91654492330168,0.9590911611869395
21,1.3697725418333304e-05,0.9116143170197224,0.9571999252364539
22,1.1251878031768761e-05,0.9099707815924032,0.9524481295121354
23,2.3258823414800303e-05,0.918553688823959,0.956309756713346
24,6.5085015757884e-06,0.912618699780862,0.9551638323322896
25,1.1854559445805478e-05,0.9086924762600438,0.9533916364505606
26,8.179275760994727e-06,0.920927684441198,0.9582514083745672
27,6.521464579468811e-06,0.9199233016800584,0.9570431947037492
28,9.42806280760231e-06,0.9176406135865596,0.9573665539869161
29,4.055424070109597e-06,0.9162710007304602,0.9560883001587459
30,3.130590140801437e-06,0.9210189919649379,0.9578974749555336
31,2.2757489060947917e-06,0.9191015339663988,0.9565336493644367
32,3.0816440117259173e-06,0.9182797662527392,0.956170439577702
33,4.13100297571331e-06,0.9152666179693206,0.9563487705429348
34,0.00047830573091143944,0.8988312636961285,0.9181052958624729
35,5.824406263600686e-05,0.9192841490138788,0.9561557728489404
36,5.6106123233698045e-06,0.9232103725346968,0.9578826822579279
37,7.107055413812032e-06,0.8911614317019723,0.9421957954639627
38,5.678118961750201e-06,0.9156318480642806,0.9555893228662873
39,2.983227751919941e-06,0.9121621621621622,0.9519326728877915
40,5.8018230647094205e-06,0.9149926953981008,0.9546025347836314
41,1.224592555583141e-05,0.9128926223520818,0.9526111140947512
42,3.3977842392557015e-06,0.9132578524470416,0.954528544048181
43,2.75424298486121e-06,0.9130752373995618,0.9544466834787022
44,2.5894125841695057e-06,0.918736303871439,0.955000855862659
45,2.747647158516387e-06,0.9202885317750182,0.9556861211391057
46,2.3183844892258915e-06,0.9181884587289992,0.9563737770735419
47,2.271458735934223e-06,0.9190102264426588,0.9553320210940867
48,2.238239182940605e-06,0.9164536157779402,0.9556040460286919
49,4.29503952187891e-06,0.9233929875821768,0.9593692468425551
50,5.9517920450292635e-06,0.9138970051132214,0.9548147559355633
