epoch,train_loss,val_accuracy,val_macro_f1
1,0.32834555904849305,0.8851351351351351,0.846954259583967
2,0.0604229149458953,0.8966398831263697,0.7895284810369636
3,0.0316303512143713,0.9119795471146822,0.8300811224048945
4,0.02086325904810322,0.9171840759678598,0.8674059964560543
5,0.017585621909240127,0.9368151935719503,0.8648784665563818
6,0.013460847147805138,0.91663623082542,0.8669220335078366
7,0.010788578259310429,0.9013878743608473,0.8537194593167128
8,0.012064653589163069,0.9415631848064281,0.8663468276813119
9,0.009762709037529434,0.9198319941563184,0.8940662935881525
10,0.008689257557236523,0.9328889700511322,0.8626363938774129
11,0.007567766363580364,0.9277757487216947,0.8641461017464019
12,0.008503050589556705,0.9391891891891891,0.8772384843544555
13,0.005881946330914281,0.9238495252008766,0.880600581468131
14,0.0037698487563645427,0.9277757487216947,0.8600887274299363
15,0.0058603834691457165,0.9247626004382761,0.8684190992412881
16,0.006535127332563726,0.9239408327246165,0.838321180086594
17,0.0022448285916026943,0.9329802775748721,0.8417069845908324
18,0.004795896601676443,0.9141709276844412,0.8398982071389857
19,0.004248387918090513,0.9276844411979547,0.8876838824393742
20,0.0005817963036809775,0.9216581446311176,0.8812552514216665
21,0.0005429768524360818,0.9156318480642806,0.8667543831145694
22,0.00790889293142921,0.9326150474799123,0.890624673181559
23,0.002568847599560026,0.931245434623813,0.8648152260471025
24,0.0021139773090950217,0.9341672753834916,0.8661990171265681
25,0.002221954660709219,0.9268626734842951,0.8663059605345773
26,0.0005928193441770472,0.9130752373995618,0.8423254015690463
27,0.0024064286268740383,0.9299671292914536,0.8644124119892003
28,0.0013094985537643578,0.9321585098612125,0.8682155164336263
29,0.0005688360567112957,0.9257669831994156,0.8621792799906205
30,0.0010072936750121927,0.9094229364499635,0.8455687137558978
31,0.0006722779205994609,0.9285975164353543,0.8647331348345625
32,0.0002714490153892064,0.9305149744338933,0.869125277855322
33,0.0005186727239027047,0.9337107377647919,0.8567880441735767
34,0.00033302894971339974,0.9336194302410519,0.872871220578348
35,0.0002682081949424638,0.9212929145361578,0.8364309722279336
36,0.0004165690135132684,0.9318845872899927,0.8777896034220705
37,0.00026543028144153667,0.9195580715850986,0.8482016784227568
38,2.8993481938995773e-05,0.9245799853907962,0.8469554348048605
39,0.00021056086792349064,0.9252191380569759,0.8482014285710284
40,2.0992369843988868e-05,0.925036523009496,0.8538001281436093
41,1.474566233842663e-05,0.9267713659605552,0.8572111763701219
42,1.1874786241908814e-05,0.9272279035792549,0.8584355250776056
43,1.7527815868862138e-05,0.9286888239590942,0.8589601173020802
44,9.865525717963658e-06,0.929236669101534,0.8603829990009654
45,1.1975527515349907e-05,0.9288714390065741,0.8601794197615551
46,6.530912615683789e-06,0.9288714390065741,0.8608959056663934
47,7.1230592628202644e-06,0.9289627465303141,0.8613321629773563
48,6.852444095898526e-06,0.9285062089116143,0.8609333042607067
49,1.1934760995300639e-05,0.9288714390065741,0.8619696750583844
50,1.2055973656147216e-05,0.9287801314828342,0.8619311706424705
