epoch,train_loss,val_accuracy,val_macro_f1
1,0.2637326497656352,0.7643352812271731,0.7397761449426069
2,0.03605402100599829,0.7839663988312637,0.7756980362787557
3,0.026744018498757804,0.7842403214024836,0.7497574035844317
4,0.01656816035335903,0.8541818845872899,0.833414137980263
5,0.015211192056650493,0.8467859751643535,0.7868441969151885
6,0.0169315054775041,0.8277027027027027,0.8332278772097376
7,0.0142890571000518,0.7188641344046749,0.7206814930184797
8,0.014377960111367208,0.8182067202337473,0.8344231718347146
9,0.008165518387812211,0.9242147552958364,0.8765036050397017
10,0.005472013345165926,0.8219503287070855,0.8337642525946347
11,0.01811368097762995,0.7820489408327246,0.8054623352928381
12,0.02071525804118079,0.8013148283418554,0.8005105974697885
13,0.010865729093277685,0.7626917457998539,0.8049357060999736
14,0.008092472366226022,0.8090759678597517,0.8331543293509716
15,0.006417346063468051,0.8597516435354273,0.8602529445334931
16,0.003596164049857121,0.835189919649379,0.8533203861576466
17,0.007626222071002014,0.8247808619430241,0.8265141198038585
18,0.019793443343481647,0.8900657414170927,0.8617950604570923
19,0.008976491950363623,0.9087837837837838,0.9011166952441533
20,0.005821128655798169,0.8644083272461651,0.8777185568263906
21,0.0036713237298346985,0.8921658144631117,0.8782966847516592
22,0.013427828737558286,0.9296932067202337,0.8926632310449151
23,0.00563412242684793,0.8942658875091307,0.8992414933966718
24,0.002857241202478893,0.8733564645726808,0.8804113817184132
25,0.0012064482990232872,0.9108838568298028,0.8973347638142526
26,0.009620318661663954,0.9048575602629657,0.8837451215829126
27,0.002844278276959816,0.9205624543462382,0.9003457350921968
28,0.0069924697723351996,0.8319941563184806,0.8405372915042079
29,0.002586709844898843,0.9309715120525931,0.896232493871421
30,0.010005237726259312,0.8093498904309715,0.8654990189653836
31,0.0016458445845701911,0.8836742147552958,0.9064772190356483
32,0.002842185509157888,0.870891161431702,0.9037545274195937
33,0.010880020244319671,0.8143718042366691,0.8753510113290751
34,0.007076369361136205,0.8654127100073046,0.8752424181896667
35,0.0016972679740239213,0.8691563184806428,0.8550743743540745
36,0.012594932582690134,0.8882395909422937,0.9287220515742634
37,0.004824346755717813,0.941654492330168,0.9567266628573079
38,0.0021878392243474794,0.9117056245434624,0.9465772238296435
39,0.0031283707706069403,0.8764609203798392,0.9070193590338009
40,0.002291149803706131,0.9122534696859022,0.9182897290591867
41,0.002929297226408735,0.8357377647918188,0.8773333755860762
42,0.003199595332958269,0.9401935719503287,0.9112392535548034
43,0.00601938878641801,0.9048575602629657,0.9075548846287876
44,0.001651738518511221,0.9174579985390796,0.9014663200411558
45,0.003112858791456908,0.8588385682980277,0.9087571116893167
46,0.0016940465441137975,0.7984842951059167,0.87374847487288
47,0.003672784975283676,0.8571037253469685,0.9057485214890415
48,0.003970801425867577,0.9242147552958364,0.9484583621488623
49,0.0014198590225894324,0.8907962016070125,0.9241156516920827
50,0.0009501033879710796,0.9344411979547115,0.9492671075824946
