epoch,train_loss,accuracy,macro_f1
1,0.9235000694227351,0.8616208892720778,0.8236734129241057
2,0.28180891567099897,0.939216652297081,0.9440267379216514
3,0.14370830777141635,0.9733341544525188,0.9790618858920888
4,0.13229454919516986,0.8613334975571704,0.9107147493621524
5,0.11986804163136751,0.9630906926140329,0.9632335396727585
