epoch,train_loss,train_seconds,accuracy,macro_f1,eval_seconds
1,1.5343576302929047,5648.778415299952,0.6561768690725459,0.5223239045919346,6914.004244400072
2,0.758602709012899,15494.750707700034,0.8120458184505481,0.7879206179257786,5915.056562999962
3,0.4726277554244326,5200.184005399933,0.863653159256066,0.8405417531592447,5675.268887800048
4,0.32313228708555164,4254.826629900024,0.9171696021677547,0.9224940290938047,5027.628997000051
5,0.2360369762018777,4158.816461700015,0.9289526624789588,0.9436337699191482,5342.198881999939
