model,best_epoch,accuracy,macro_f1
CNN baseline,4,0.9482489633370283,0.9743759630093204
Hybrid spatial-spectral,3,0.9733341544525188,0.9790618858920888
Independent-band transformer p=5,5,0.9289526624789588,0.9436337699191482
