epoch,train_loss,val_accuracy,val_macro_f1
1,0.14824106771596035,0.8424032140248356,0.7650925511488214
2,0.09850719433942447,0.7963842220598978,0.7710070750076279
3,0.0642872849475804,0.9317019722425128,0.8388784257893986
4,0.0537509535546076,0.9367238860482103,0.8665933730368953
5,0.04918448481264431,0.9632943754565376,0.8825759541803391
6,0.05660683879730789,0.862582176771366,0.8314521656848126
7,0.030794910788776268,0.9158144631117604,0.8594479776618585
8,0.02723553938663339,0.8679693206720234,0.8452586934539726
9,0.02875738199353557,0.7715485756026297,0.7183177563797063
10,0.04252755146788551,0.8655040175310446,0.8123193905332144
11,0.028031645995687537,0.8315376186997808,0.819045390221852
12,0.03412623980817302,0.9507852447041636,0.8877478182476666
13,0.024714296340482035,0.8772826880934989,0.835549489314947
14,0.027762049949738406,0.9357195032870709,0.8649175562825495
15,0.03065170486599834,0.873082542001461,0.8388661083812523
16,0.030911636032403947,0.9336194302410519,0.8634108832933146
17,0.021354568563234658,0.9389152666179693,0.8523193951951883
18,0.022185241469825995,0.9233929875821768,0.8555898112891389
19,0.030344189691304927,0.9107012417823228,0.8615225062500097
20,0.021416118024800968,0.8816654492330168,0.8350826575726322
21,0.027984447850251802,0.9464024835646457,0.8887954288766551
22,0.028701630994142083,0.8715303140978816,0.8457103988411804
23,0.014863999500541457,0.8516252739225713,0.8174133403858005
24,0.02150738773407925,0.8497078159240321,0.8311548014833066
25,0.014568009766758016,0.9567202337472608,0.8780928483806287
26,0.02033716532836254,0.8141891891891891,0.8017105711306647
27,0.013909596845183444,0.9590029218407596,0.8921134366858217
28,0.013598827979283098,0.9369065010956903,0.8438721451375168
29,0.017811390118796767,0.8476990504017531,0.812455491674265
30,0.031601508416867444,0.9334368151935719,0.8542922620453947
31,0.011307788357548984,0.9173666910153396,0.8740464119239015
32,0.013278394283152932,0.9343498904309715,0.8740879467151569
33,0.014441121251158137,0.9212016070124178,0.9168993288471428
34,0.020815063909506736,0.9035792549306063,0.8616662030212758
35,0.01485705340792151,0.8831263696128561,0.8701175223185638
36,0.012173047985130565,0.9413805697589481,0.887463901996477
37,0.01916356406325054,0.8656866325785245,0.830753225076516
38,0.009137495510892806,0.9287801314828342,0.886233043619603
39,0.010607046482865503,0.9384587289992695,0.8724003587395458
40,0.011987840928482678,0.864682249817385,0.8573832317911798
41,0.03042718158343578,0.8123630387143901,0.7838721577018377
42,0.01878386195569329,0.8742695398100804,0.8187972192574908
43,0.010389890743802402,0.9179145361577794,0.8450739757760055
44,0.019048773209291735,0.9361760409057707,0.86822997197958
45,0.00842717149822308,0.9362673484295105,0.8563426614021822
46,0.011359341683050925,0.9178232286340394,0.857703772313178
47,0.017739796325104498,0.9175493060628196,0.8695117525039602
48,0.016381707543858412,0.9553506208911614,0.8665153499280641
49,0.010002436676551187,0.9122534696859022,0.8562556886869853
50,0.00608405223265271,0.8555514974433893,0.8232407439104314
