0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,491,0,0,0,0,7,0,0,0,0,0,0,0,0,0
0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,27,836,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2716,0,2,0,0,0,0,181,0
0,0,0,0,0,0,0,0,1177,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,510,34,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,0,220,0,0
0,0,0,0,0,0,0,58,0,0,0,0,0,0,617,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972
