model,accuracy,macro_f1,parameters,parameters_m,model_size_mb,flops,gflops,peak_gpu_memory_mb,batch_size,latency_batch_ms,latency_batch_median_ms,latency_batch_p95_ms,latency_batch_std_ms,latency_per_sample_ms,throughput_samples_sec
Hybrid Spatial-Spectral,0.9809963099630996,0.963905233259482,605712,0.605712,2.330137252807617,82053120.0,0.08205312,252.45361328125,128,43.81522999989102,44.87419999350095,45.74441000440856,2.001661444568814,0.3423064843741485,2921.358623481341
SpectralFormer (Official),0.9273985239852398,0.918674119314854,399381,0.399381,1.5529289245605469,43319680.0,0.04331968,370.25634765625,128,67.64080699998885,65.25064999732422,71.43572999993921,18.10015813762392,0.5284438046874129,1892.3488006289028
SSFTT (Official),0.9814575645756456,0.9540800790174658,153224,0.153224,0.5976009368896484,16907040.0,0.01690704,47.73974609375,128,8.622985000547487,5.602250006631948,10.490739996021029,13.051518763756883,0.0673670703167772,14844.047622937194
