epoch,train_loss,val_accuracy,val_macro_f1
1,0.25923444681667007,0.95836376917458,0.9054250328694162
2,0.04740300527811382,0.9210189919649379,0.8635480196852316
3,0.025019446330919563,0.8164718772826881,0.8101928506861026
4,0.019181922736685432,0.6663623082542002,0.6858508213943431
5,0.01306118630316327,0.8031409788166545,0.8107453289636934
6,0.027415767536737162,0.8182067202337473,0.8288781954706902
7,0.009228161251775347,0.7772096420745069,0.7941445529584519
8,0.01998396580721163,0.8382030679327976,0.7376338940382615
9,0.014908287950328046,0.8737216946676406,0.8400782481706193
10,0.007801067136035567,0.8638604821037253,0.8321421459633825
11,0.007348345231178601,0.9365412710007305,0.8901429938812813
12,0.006157299790854078,0.9138056975894814,0.8835205319619039
13,0.0046649564527512346,0.8898831263696129,0.8463633292141872
14,0.030948876989852443,0.8761869978086194,0.8706223595629663
15,0.015038292745236737,0.7153944485025566,0.6869582904736602
16,0.008963968169108744,0.8600255661066472,0.8889886656613366
17,0.007039189915789001,0.8806610664718773,0.8498434190739237
18,0.009017521402068558,0.9045836376917458,0.9201178811876434
19,0.006632621142442974,0.7413257852447042,0.8018982036853405
20,0.005030555488772501,0.8135500365230095,0.8548786270445592
21,0.0060503768720838475,0.8469685902118335,0.8841852564750088
22,0.004423220201147797,0.8110847333820307,0.8414633601939211
23,0.00791514125394069,0.8699780861943024,0.926673885328841
24,0.010004105114994338,0.9032140248356465,0.9322599158626098
25,0.0028334765349148352,0.9238495252008766,0.921603427246988
26,0.0014184873568790417,0.8781044558071585,0.8797046852843095
27,0.007933512285441424,0.9425675675675675,0.9299321010980917
28,0.00282918169390274,0.9071402483564646,0.8941957134440459
29,0.009135937545153969,0.9299671292914536,0.9045671758665638
30,0.0016677151774257715,0.9257669831994156,0.9058451032510282
31,0.010277934128124626,0.8285244704163623,0.853978468088936
32,0.003927121578621593,0.8613951789627465,0.9078778415400168
33,0.003069577976340625,0.8072498173849525,0.8551381527221746
34,0.007982110746860813,0.897918188458729,0.925218161457854
35,0.008071945130143738,0.8341855368882396,0.8673253553148802
36,0.0038470629449941485,0.9381848064280497,0.922115273921452
37,0.00215033831894108,0.8689737034331629,0.8827912516603564
38,0.0011699340234303027,0.8093498904309715,0.8124945062153914
39,0.0023245788548389703,0.9173666910153396,0.9108512866148911
40,0.004863192259318937,0.9101533966398831,0.9357719375168982
41,0.005836589822900283,0.8613951789627465,0.9161891695910149
42,0.002051369687204705,0.9257669831994156,0.9486137518633081
43,0.012779304759352302,0.8753652300949598,0.9093661068591874
44,0.004761533392467983,0.8861395178962747,0.9230520528512884
45,0.003936731166876406,0.9516983199415632,0.9508000565811858
46,0.0009629781423594808,0.933345507669832,0.9563906490258482
47,0.0024919651230879483,0.8195763330898466,0.859502942165352
48,0.0009817401099193543,0.8724433893352812,0.9257917688528738
49,0.0023081254916464387,0.8107195032870709,0.8858669623841948
50,0.0043127628573806824,0.9262235208181154,0.936128209475273
