model,best_epoch,accuracy,macro_f1,parameters,batch_size,latency_ms_per_batch,latency_ms_per_sample
CNN baseline,4,0.9482489633370283,0.9743759630093204,126480,256,95.19217999962468,0.3718444531235339
Hybrid spatial-spectral,3,0.9733341544525188,0.9790618858920888,605712,256,622.9456233326346,2.433381341143104
